IP地址:端口:TLS:数据中心:地区:城市:网络延迟:下载速度
49.0.233.29:443#HKG:Asia Pacific:Hong Kong:74 ms:38094 kB/s
8.217.168.110:20000#HKG:Asia Pacific:Hong Kong:48 ms:25564 kB/s
8.213.157.76:443#ICN:Asia Pacific:Seoul:43 ms:25054 kB/s
112.124.34.154:443#SJC:North America:San Jose:26 ms:23523 kB/s
46.3.193.125:443#SIN:Asia Pacific:Singapore:78 ms:22531 kB/s
154.12.191.156:443#NRT:Asia Pacific:Tokyo:53 ms:19418 kB/s
156.59.91.176:443#IAD:North America:Ashburn:47 ms:17753 kB/s
47.242.122.187:40001#SIN:Asia Pacific:Singapore:48 ms:16391 kB/s
46.232.108.217:443#HKG:Asia Pacific:Hong Kong:36 ms:15281 kB/s
5.226.49.186:443#NRT:Asia Pacific:Tokyo:71 ms:14349 kB/s
120.233.128.76:25000#HKG:Asia Pacific:Hong Kong:39 ms:14003 kB/s
46.3.44.155:443#NRT:Asia Pacific:Tokyo:61 ms:13634 kB/s
46.3.45.27:443#NRT:Asia Pacific:Tokyo:54 ms:13307 kB/s
47.238.74.255:443#HKG:Asia Pacific:Hong Kong:46 ms:12882 kB/s
182.92.117.228:6443#HKG:Asia Pacific:Hong Kong:32 ms:12693 kB/s
47.76.48.189:9530#HKG:Asia Pacific:Hong Kong:49 ms:12008 kB/s
14.50.215.31:12530#ICN:Asia Pacific:Seoul:53 ms:11734 kB/s
141.98.196.223:443#NRT:Asia Pacific:Tokyo:84 ms:10671 kB/s
182.31.70.92:12333#ICN:Asia Pacific:Seoul:52 ms:10212 kB/s
121.163.244.186:10554#ICN:Asia Pacific:Seoul:59 ms:10163 kB/s
119.202.158.65:11084#ICN:Asia Pacific:Seoul:59 ms:10110 kB/s
14.53.207.174:12480#ICN:Asia Pacific:Seoul:57 ms:9998 kB/s
59.21.203.65:18048#ICN:Asia Pacific:Seoul:56 ms:9945 kB/s
59.22.106.24:12365#ICN:Asia Pacific:Seoul:54 ms:9935 kB/s
211.34.41.95:18245#ICN:Asia Pacific:Seoul:55 ms:9923 kB/s
222.104.170.102:50001#ICN:Asia Pacific:Seoul:59 ms:9888 kB/s
121.149.177.218:50001#ICN:Asia Pacific:Seoul:67 ms:9859 kB/s
222.119.153.85:12378#ICN:Asia Pacific:Seoul:79 ms:9841 kB/s
112.172.75.86:12377#FUK:Asia Pacific:Fukuoka:74 ms:9814 kB/s
121.177.159.95:15769#FUK:Asia Pacific:Fukuoka:77 ms:9807 kB/s
36.39.77.189:10243#ICN:Asia Pacific:Seoul:68 ms:9773 kB/s
14.42.56.165:18059#ICN:Asia Pacific:Seoul:50 ms:9771 kB/s
14.34.25.156:50003#ICN:Asia Pacific:Seoul:55 ms:9768 kB/s
183.109.0.52:12561#ICN:Asia Pacific:Seoul:72 ms:9679 kB/s
14.53.243.142:10443#ICN:Asia Pacific:Seoul:53 ms:9671 kB/s
220.78.33.235:10000#ICN:Asia Pacific:Seoul:89 ms:9666 kB/s
222.110.14.159:19999#FUK:Asia Pacific:Fukuoka:68 ms:9659 kB/s
8.210.174.22:10003#LAX:North America:Los Angeles:56 ms:9622 kB/s
59.15.56.186:22105#ICN:Asia Pacific:Seoul:68 ms:9608 kB/s
125.132.70.227:12557#ICN:Asia Pacific:Seoul:58 ms:9587 kB/s
210.222.88.220:12145#ICN:Asia Pacific:Seoul:57 ms:9577 kB/s
14.42.56.165:18040#ICN:Asia Pacific:Seoul:49 ms:9557 kB/s
211.51.199.88:12557#ICN:Asia Pacific:Seoul:72 ms:9543 kB/s
221.167.79.231:10468#ICN:Asia Pacific:Seoul:74 ms:9511 kB/s
121.160.119.150:50001#ICN:Asia Pacific:Seoul:48 ms:9492 kB/s
222.111.33.128:11434#ICN:Asia Pacific:Seoul:57 ms:9476 kB/s
210.178.107.198:50001#ICN:Asia Pacific:Seoul:71 ms:9460 kB/s
211.220.55.41:12112#ICN:Asia Pacific:Seoul:74 ms:9456 kB/s
125.138.28.68:12088#ICN:Asia Pacific:Seoul:84 ms:9442 kB/s
175.200.141.106:50001#ICN:Asia Pacific:Seoul:53 ms:9428 kB/s
118.45.113.48:12238#ICN:Asia Pacific:Seoul:77 ms:9426 kB/s
112.160.1.110:12332#ICN:Asia Pacific:Seoul:68 ms:9397 kB/s
210.123.143.214:12533#ICN:Asia Pacific:Seoul:69 ms:9394 kB/s
183.104.247.167:10002#ICN:Asia Pacific:Seoul:76 ms:9390 kB/s
175.207.52.161:50001#ICN:Asia Pacific:Seoul:81 ms:9357 kB/s
121.181.118.220:50003#ICN:Asia Pacific:Seoul:50 ms:9333 kB/s
175.215.25.53:50001#ICN:Asia Pacific:Seoul:55 ms:9328 kB/s
5.253.16.162:4430#HKG:Asia Pacific:Hong Kong:49 ms:9324 kB/s
222.120.189.54:12538#ICN:Asia Pacific:Seoul:76 ms:9307 kB/s
210.222.88.220:11965#ICN:Asia Pacific:Seoul:88 ms:9305 kB/s
125.138.28.68:12112#ICN:Asia Pacific:Seoul:57 ms:9302 kB/s
121.155.14.99:50001#ICN:Asia Pacific:Seoul:53 ms:9296 kB/s
59.18.217.182:12363#ICN:Asia Pacific:Seoul:56 ms:9290 kB/s
